id,title,price,region,city,rooms,area_m2,floor,total_floors,year
1011681404,3-комнатная квартира · 89.8 м² · 4/6 этаж,40 000 000〒,Наурыз 2,Костанай,3,89.8,4.0,6.0,2007.0
1009122060,1-комнатная квартира · 37 м² · 7/10 этаж,26 000 000〒,"Есильский р-н, Алихан Бокейхан 13 — Орынбор",Астана,1,37.0,7.0,10.0,2025.0
1011008912,3-комнатная квартира · 58.1 м² · 1/5 этаж,18 900 000〒,Естая Беркимбаева 101к2,Экибастуз,3,58.1,1.0,5.0,1984.0
1011681093,2-комнатная квартира · 60.6 м² · 1/3 этаж,20 000 000〒,Ұ.Әбдірахманов — Базар маңы,Кульсары,2,60.6,1.0,3.0,2016.0
698339067,3-комнатная квартира · 110 м² · 8/10 этаж,130 000 000〒,"Алмалинский р-н, Шевченко — Мауленова, Курмангазы",Алматы,3,110.0,8.0,10.0,2022.0
1007173684,3-комнатная квартира · 85 м² · 2/10 этаж,40 000 000〒,"мкр Центральный, Абая 26/5 — Возле драм театра",Атырау,3,85.0,2.0,10.0,2025.0
698462173,2-комнатная квартира · 54 м² · 2/6 этаж,18 000 000〒,32А мкр 21,Актау,2,54.0,2.0,6.0,2016.0
1009045842,2-комнатная квартира · 50 м² · 9/10 этаж,19 000 000〒,Темирбекова 11 — Гагарина,Кокшетау,2,50.0,9.0,10.0,2026.0
1007147849,3-комнатная квартира · 60 м² · 3/5 этаж,24 000 000〒,Астана 38,Усть-Каменогорск,3,60.0,3.0,5.0,1969.0
1011072411,1-комнатная квартира · 33 м² · 4/5 этаж,9 300 000〒,мкр Карасу 23 — Ресторан ақсайдың арты,Тараз,1,33.0,4.0,5.0,1978.0
1009580300,2-комнатная квартира · 40.3 м² · 1/4 этаж,32 000 000〒,"Бостандыкский р-н, Попова 15",Алматы,2,40.3,1.0,4.0,1963.0
1010324814,1-комнатная квартира · 38.7 м² · 7/12 этаж,27 500 000〒,"Нура р-н, мкр Уркер, E- 15 16",Астана,1,38.7,7.0,12.0,2025.0
1011263214,4-комнатная квартира · 90 м² · 2/5 этаж,28 000 000〒,26-й мкр 21 — Достык,Актау,4,90.0,2.0,5.0,1984.0
1011263195,1-комнатная квартира · 45 м² · 9/9 этаж,46 900 000〒,"Нура р-н, Максут Нарикбаев 14",Астана,1,45.0,9.0,9.0,2024.0
1006361351,1-комнатная квартира · 14.7 м² · 5/5 этаж,13 400 000〒,"Бостандыкский р-н, мкр Алмагуль, Жарокова 217а — Жарокова Тимирязева",Алматы,1,14.7,5.0,5.0,1984.0
1011681403,1-комнатная квартира · 31.6 м² · 2/5 этаж,12 500 000〒,Кубеева 10,Костанай,1,31.6,2.0,5.0,1967.0
1011681407,2-комнатная квартира · 45 м² · 1/5 этаж,14 500 000〒,мира,Петропавловск,2,45.0,1.0,5.0,1975.0
1011681330,3-комнатная квартира · 97 м² · 9/16 этаж,60 500 000〒,"Каратауский р-н, Нурсултана Назарбаева 1",Шымкент,3,97.0,9.0,16.0,2025.0
1011681349,1-комнатная квартира · 35 м² · 2/9 этаж,27 900 000〒,"Алмалинский р-н, Абая",Алматы,1,35.0,2.0,9.0,1981.0
1011681400,3-комнатная квартира · 55.86 м² · 9/9 этаж,31 500 000〒,"Есильский р-н, Е511 25",Астана,3,55.86,9.0,9.0,2026.0
1009286494,3-комнатная квартира · 77.9 м² · 2/5 этаж,26 000 000〒,Алкей Маргулана 3 А,Экибастуз,3,77.9,2.0,5.0,1998.0
1011392180,3-комнатная квартира · 78 м² · 3/5 этаж,65 500 000〒,"Бостандыкский р-н, Шашкина — Аль-Фараби/р.Весновка",Алматы,3,78.0,3.0,5.0,1989.0
1002810999,3-комнатная квартира · 90 м² · 7/9 этаж,65 500 000〒,Нурсултана Назарбаева — Сити мол,Петропавловск,3,90.0,7.0,9.0,2024.0
